Lp,Alternatives,Correlation,Methods
0,10,0.5019283746556473,DARIA-TOPSIS/DARIA-VIKOR
1,10,0.6198347107438016,DARIA-TOPSIS/AVG TOPSIS
2,10,0.1338842975206611,DARIA-VIKOR/AVG VIKOR
3,10,0.9944903581267217,AVG TOPSIS/AVG VIKOR
4,30,0.9084287200832466,DARIA-TOPSIS/DARIA-VIKOR
5,30,-0.15256378054469133,DARIA-TOPSIS/AVG TOPSIS
6,30,-0.012350640496609167,DARIA-VIKOR/AVG VIKOR
7,30,0.942846890810578,AVG TOPSIS/AVG VIKOR
8,50,0.8399755196196126,DARIA-TOPSIS/DARIA-VIKOR
9,50,0.035030482781347794,DARIA-TOPSIS/AVG TOPSIS
10,50,0.06801497069416007,DARIA-VIKOR/AVG VIKOR
11,50,0.9467532895511146,AVG TOPSIS/AVG VIKOR
12,100,0.8303349938954292,DARIA-TOPSIS/DARIA-VIKOR
13,100,0.3606526989332597,DARIA-TOPSIS/AVG TOPSIS
14,100,0.3321638698523318,DARIA-VIKOR/AVG VIKOR
15,100,0.8947339090344678,AVG TOPSIS/AVG VIKOR
16,200,0.8424327996259608,DARIA-TOPSIS/DARIA-VIKOR
17,200,0.2811705740404704,DARIA-TOPSIS/AVG TOPSIS
18,200,0.2718639010751388,DARIA-VIKOR/AVG VIKOR
19,200,0.9184034078463902,AVG TOPSIS/AVG VIKOR
20,10,0.7630853994490359,DARIA-TOPSIS/DARIA-VIKOR
21,10,-0.21873278236914606,DARIA-TOPSIS/AVG TOPSIS
22,10,-0.618732782369146,DARIA-VIKOR/AVG VIKOR
23,10,0.8865013774104683,AVG TOPSIS/AVG VIKOR
24,30,0.8348559331156482,DARIA-TOPSIS/DARIA-VIKOR
25,30,0.0683268147403926,DARIA-TOPSIS/AVG TOPSIS
26,30,0.1096056550288852,DARIA-VIKOR/AVG VIKOR
27,30,0.849510208475367,AVG TOPSIS/AVG VIKOR
28,50,0.7578381941011698,DARIA-TOPSIS/DARIA-VIKOR
29,50,0.059203916860862016,DARIA-TOPSIS/AVG TOPSIS
30,50,0.03764423416425389,DARIA-VIKOR/AVG VIKOR
31,50,0.9332796648070993,AVG TOPSIS/AVG VIKOR
32,100,0.7375812828807633,DARIA-TOPSIS/DARIA-VIKOR
33,100,0.13153457920049427,DARIA-TOPSIS/AVG TOPSIS
34,100,0.13989775215145273,DARIA-VIKOR/AVG VIKOR
35,100,0.9202048521683852,AVG TOPSIS/AVG VIKOR
36,200,0.8681403900769161,DARIA-TOPSIS/DARIA-VIKOR
37,200,0.3060178444759627,DARIA-TOPSIS/AVG TOPSIS
38,200,0.2600563372293263,DARIA-VIKOR/AVG VIKOR
39,200,0.8589783475930182,AVG TOPSIS/AVG VIKOR
40,10,0.7002754820936639,DARIA-TOPSIS/DARIA-VIKOR
41,10,0.21873278236914595,DARIA-TOPSIS/AVG TOPSIS
42,10,-0.018181818181818077,DARIA-VIKOR/AVG VIKOR
43,10,0.8809917355371901,AVG TOPSIS/AVG VIKOR
44,30,0.8977214826509742,DARIA-TOPSIS/DARIA-VIKOR
45,30,0.21052065018479316,DARIA-TOPSIS/AVG TOPSIS
46,30,0.02809573361082207,DARIA-VIKOR/AVG VIKOR
47,30,0.8672934084466611,AVG TOPSIS/AVG VIKOR
48,50,0.8708113833768801,DARIA-TOPSIS/DARIA-VIKOR
49,50,0.012943530353317745,DARIA-TOPSIS/AVG TOPSIS
50,50,-0.0891622531365488,DARIA-VIKOR/AVG VIKOR
51,50,0.8727415672151213,AVG TOPSIS/AVG VIKOR
52,100,0.8890222883674506,DARIA-TOPSIS/DARIA-VIKOR
53,100,0.35989686097322604,DARIA-TOPSIS/AVG TOPSIS
54,100,0.28420814358663593,DARIA-VIKOR/AVG VIKOR
55,100,0.889417258557539,AVG TOPSIS/AVG VIKOR
56,200,0.88396208412673,DARIA-TOPSIS/DARIA-VIKOR
57,200,0.42433756366297215,DARIA-TOPSIS/AVG TOPSIS
58,200,0.3606619195330629,DARIA-VIKOR/AVG VIKOR
59,200,0.8992136967603295,AVG TOPSIS/AVG VIKOR
60,10,0.9382920110192837,DARIA-TOPSIS/DARIA-VIKOR
61,10,0.10964187327823693,DARIA-TOPSIS/AVG TOPSIS
62,10,0.08319559228650142,DARIA-VIKOR/AVG VIKOR
63,10,0.925068870523416,AVG TOPSIS/AVG VIKOR
64,30,0.9150884495317377,DARIA-TOPSIS/DARIA-VIKOR
65,30,-0.08173239082851924,DARIA-TOPSIS/AVG TOPSIS
66,30,0.0587821593885679,DARIA-VIKOR/AVG VIKOR
67,30,0.9309770712978578,AVG TOPSIS/AVG VIKOR
68,50,0.8775058258597557,DARIA-TOPSIS/DARIA-VIKOR
69,50,0.3482927288562484,DARIA-TOPSIS/AVG TOPSIS
70,50,0.33098509992232183,DARIA-VIKOR/AVG VIKOR
71,50,0.8376630652260905,AVG TOPSIS/AVG VIKOR
72,100,0.8027213018331536,DARIA-TOPSIS/DARIA-VIKOR
73,100,0.28735233919431546,DARIA-TOPSIS/AVG TOPSIS
74,100,0.1788001770474077,DARIA-VIKOR/AVG VIKOR
75,100,0.9251404348355627,AVG TOPSIS/AVG VIKOR
76,200,0.747179022759151,DARIA-TOPSIS/DARIA-VIKOR
77,200,0.15888543482243778,DARIA-TOPSIS/AVG TOPSIS
78,200,0.18444590219233092,DARIA-VIKOR/AVG VIKOR
79,200,0.8998699370469336,AVG TOPSIS/AVG VIKOR
80,10,0.9614325068870524,DARIA-TOPSIS/DARIA-VIKOR
81,10,0.5856749311294767,DARIA-TOPSIS/AVG TOPSIS
82,10,0.4435261707988981,DARIA-VIKOR/AVG VIKOR
83,10,0.984573002754821,AVG TOPSIS/AVG VIKOR
84,30,0.7335821163299724,DARIA-TOPSIS/DARIA-VIKOR
85,30,0.14646381283863796,DARIA-TOPSIS/AVG TOPSIS
86,30,-0.10596002727044396,DARIA-VIKOR/AVG VIKOR
87,30,0.8562847608453837,AVG TOPSIS/AVG VIKOR
88,50,0.7933272132382365,DARIA-TOPSIS/DARIA-VIKOR
89,50,0.3350205964738837,DARIA-TOPSIS/AVG TOPSIS
90,50,0.12633853541416562,DARIA-VIKOR/AVG VIKOR
91,50,0.9087879857825483,AVG TOPSIS/AVG VIKOR
92,100,0.7841594852554562,DARIA-TOPSIS/DARIA-VIKOR
93,100,0.18506076350209277,DARIA-TOPSIS/AVG TOPSIS
94,100,0.1990418051706161,DARIA-VIKOR/AVG VIKOR
95,100,0.8969361886683718,AVG TOPSIS/AVG VIKOR
96,200,0.8654756443537954,DARIA-TOPSIS/DARIA-VIKOR
97,200,0.2136717149272015,DARIA-TOPSIS/AVG TOPSIS
98,200,0.21697103621620395,DARIA-VIKOR/AVG VIKOR
99,200,0.9086380741608092,AVG TOPSIS/AVG VIKOR
100,10,0.9449035812672176,DARIA-TOPSIS/DARIA-VIKOR
101,10,0.36969696969696975,DARIA-TOPSIS/AVG TOPSIS
102,10,0.503030303030303,DARIA-VIKOR/AVG VIKOR
103,10,0.8732782369146006,AVG TOPSIS/AVG VIKOR
104,30,0.9147296279019699,DARIA-TOPSIS/DARIA-VIKOR
105,30,0.055036061573791706,DARIA-TOPSIS/AVG TOPSIS
106,30,0.07197244249883383,DARIA-VIKOR/AVG VIKOR
107,30,0.9629839606731494,AVG TOPSIS/AVG VIKOR
108,50,0.8578556128333686,DARIA-TOPSIS/DARIA-VIKOR
109,50,0.2371235553044747,DARIA-TOPSIS/AVG TOPSIS
110,50,0.12444601369959751,DARIA-VIKOR/AVG VIKOR
111,50,0.8699451545324012,AVG TOPSIS/AVG VIKOR
112,100,0.8222357285233474,DARIA-TOPSIS/DARIA-VIKOR
113,100,0.3076351991634807,DARIA-TOPSIS/AVG TOPSIS
114,100,0.24466739743281263,DARIA-VIKOR/AVG VIKOR
115,100,0.8662495952565554,AVG TOPSIS/AVG VIKOR
116,200,0.8435688205637977,DARIA-TOPSIS/DARIA-VIKOR
117,200,0.23624638377153462,DARIA-TOPSIS/AVG TOPSIS
118,200,0.1562572422519518,DARIA-VIKOR/AVG VIKOR
119,200,0.8639398298390295,AVG TOPSIS/AVG VIKOR
120,10,0.681542699724518,DARIA-TOPSIS/DARIA-VIKOR
121,10,0.06446280991735542,DARIA-TOPSIS/AVG TOPSIS
122,10,0.12506887052341598,DARIA-VIKOR/AVG VIKOR
123,10,0.9900826446280991,AVG TOPSIS/AVG VIKOR
124,30,0.8500843230829954,DARIA-TOPSIS/DARIA-VIKOR
125,30,0.14524381929742725,DARIA-TOPSIS/AVG TOPSIS
126,30,0.3617711435645341,DARIA-VIKOR/AVG VIKOR
127,30,0.9369191574868133,AVG TOPSIS/AVG VIKOR
128,50,0.8816467763576019,DARIA-TOPSIS/DARIA-VIKOR
129,50,0.30601511192712383,DARIA-TOPSIS/AVG TOPSIS
130,50,0.24744486029706003,DARIA-VIKOR/AVG VIKOR
131,50,0.7993795165124873,AVG TOPSIS/AVG VIKOR
132,100,0.8623328075381795,DARIA-TOPSIS/DARIA-VIKOR
133,100,0.2461226320651867,DARIA-TOPSIS/AVG TOPSIS
134,100,0.08887708572837483,DARIA-VIKOR/AVG VIKOR
135,100,0.8738969738558015,AVG TOPSIS/AVG VIKOR
136,200,0.8389875642413449,DARIA-TOPSIS/DARIA-VIKOR
137,200,0.25355861508478006,DARIA-TOPSIS/AVG TOPSIS
138,200,0.20865046253022002,DARIA-VIKOR/AVG VIKOR
139,200,0.8746604560636404,AVG TOPSIS/AVG VIKOR
140,10,0.8501377410468319,DARIA-TOPSIS/DARIA-VIKOR
141,10,0.503030303030303,DARIA-TOPSIS/AVG TOPSIS
142,10,0.3223140495867769,DARIA-VIKOR/AVG VIKOR
143,10,0.8181818181818181,AVG TOPSIS/AVG VIKOR
144,30,0.8655423588933941,DARIA-TOPSIS/DARIA-VIKOR
145,30,0.14768380637984857,DARIA-TOPSIS/AVG TOPSIS
146,30,0.05876780652337721,DARIA-VIKOR/AVG VIKOR
147,30,0.8550360615737916,AVG TOPSIS/AVG VIKOR
148,50,0.8355313890261987,DARIA-TOPSIS/DARIA-VIKOR
149,50,0.23396370312831016,DARIA-TOPSIS/AVG TOPSIS
150,50,0.23242332227008455,DARIA-VIKOR/AVG VIKOR
151,50,0.8741859096579808,AVG TOPSIS/AVG VIKOR
152,100,0.8045265912729886,DARIA-TOPSIS/DARIA-VIKOR
153,100,0.25444065198599064,DARIA-TOPSIS/AVG TOPSIS
154,100,0.37347627832090136,DARIA-VIKOR/AVG VIKOR
155,100,0.8936811304892865,AVG TOPSIS/AVG VIKOR
156,200,0.8174481078444872,DARIA-TOPSIS/DARIA-VIKOR
157,200,0.23804819747359351,DARIA-TOPSIS/AVG TOPSIS
158,200,0.1786852880277231,DARIA-VIKOR/AVG VIKOR
159,200,0.9175934174473764,AVG TOPSIS/AVG VIKOR
160,10,0.7421487603305785,DARIA-TOPSIS/DARIA-VIKOR
161,10,-0.33333333333333326,DARIA-TOPSIS/AVG TOPSIS
