Lp,Criteria,Correlation,Methods
0,6,0.9301848944706088,DARIA-TOPSIS/DARIA-VIKOR
1,6,0.35167015524158385,DARIA-TOPSIS/AVG TOPSIS
2,6,0.5273199023199023,DARIA-VIKOR/AVG VIKOR
3,6,0.9328885400313972,AVG TOPSIS/AVG VIKOR
4,8,0.8050540729112158,DARIA-TOPSIS/DARIA-VIKOR
5,8,0.2056732949590092,DARIA-TOPSIS/AVG TOPSIS
6,8,-0.06325222396650965,DARIA-VIKOR/AVG VIKOR
7,8,0.916056166056166,AVG TOPSIS/AVG VIKOR
8,10,0.8918323739752311,DARIA-TOPSIS/DARIA-VIKOR
9,10,0.03935548578405723,DARIA-TOPSIS/AVG TOPSIS
10,10,-0.07951770451770446,DARIA-VIKOR/AVG VIKOR
11,10,0.9408686551543695,AVG TOPSIS/AVG VIKOR
12,16,0.9091008198151055,DARIA-TOPSIS/DARIA-VIKOR
13,16,0.0009375545089830295,DARIA-TOPSIS/AVG TOPSIS
14,16,-0.20885661957090518,DARIA-VIKOR/AVG VIKOR
15,16,0.8112026862026862,AVG TOPSIS/AVG VIKOR
16,24,0.7957875457875458,DARIA-TOPSIS/DARIA-VIKOR
17,24,0.3949720914006628,DARIA-TOPSIS/AVG TOPSIS
18,24,0.2693397871969301,DARIA-VIKOR/AVG VIKOR
19,24,0.9100165707308564,AVG TOPSIS/AVG VIKOR
20,32,0.7707570207570208,DARIA-TOPSIS/DARIA-VIKOR
21,32,0.15685504971219255,DARIA-TOPSIS/AVG TOPSIS
22,32,0.145255538112681,DARIA-VIKOR/AVG VIKOR
23,32,0.8397217861503576,AVG TOPSIS/AVG VIKOR
24,6,0.8802328623757195,DARIA-TOPSIS/DARIA-VIKOR
25,6,0.44867434153148444,DARIA-TOPSIS/AVG TOPSIS
26,6,0.3673033315890458,DARIA-VIKOR/AVG VIKOR
27,6,0.9152712366998081,AVG TOPSIS/AVG VIKOR
28,8,0.8076705040990755,DARIA-TOPSIS/DARIA-VIKOR
29,8,0.08230856445142154,DARIA-TOPSIS/AVG TOPSIS
30,8,0.10055817198674344,DARIA-VIKOR/AVG VIKOR
31,8,0.9645037502180359,AVG TOPSIS/AVG VIKOR
32,10,0.9071603000174429,DARIA-TOPSIS/DARIA-VIKOR
33,10,0.3584292691435549,DARIA-TOPSIS/AVG TOPSIS
34,10,0.45074568288854,DARIA-VIKOR/AVG VIKOR
35,10,0.9615820687249259,AVG TOPSIS/AVG VIKOR
36,16,0.8499258677830106,DARIA-TOPSIS/DARIA-VIKOR
37,16,0.10598726670155245,DARIA-TOPSIS/AVG TOPSIS
38,16,0.21472178615035753,DARIA-VIKOR/AVG VIKOR
39,16,0.8751962323390895,AVG TOPSIS/AVG VIKOR
40,24,0.748146694575266,DARIA-TOPSIS/DARIA-VIKOR
41,24,-0.018249607535321788,DARIA-TOPSIS/AVG TOPSIS
42,24,0.17643467643467647,DARIA-VIKOR/AVG VIKOR
43,24,0.8860108145822432,AVG TOPSIS/AVG VIKOR
44,32,0.7338871446014303,DARIA-TOPSIS/DARIA-VIKOR
45,32,0.14804639804639808,DARIA-TOPSIS/AVG TOPSIS
46,32,-0.048861852433280895,DARIA-VIKOR/AVG VIKOR
47,32,0.7368306296877725,AVG TOPSIS/AVG VIKOR
48,6,0.9060701203558347,DARIA-TOPSIS/DARIA-VIKOR
49,6,0.48709227280655853,DARIA-TOPSIS/AVG TOPSIS
50,6,0.2664617128902843,DARIA-VIKOR/AVG VIKOR
51,6,0.9753837432408861,AVG TOPSIS/AVG VIKOR
52,8,0.8799276120704692,DARIA-TOPSIS/DARIA-VIKOR
53,8,0.20931449502878074,DARIA-TOPSIS/AVG TOPSIS
54,8,0.06582504796790511,DARIA-VIKOR/AVG VIKOR
55,8,0.9481946624803768,AVG TOPSIS/AVG VIKOR
56,10,0.878052503052503,DARIA-TOPSIS/DARIA-VIKOR
57,10,-0.08570992499563923,DARIA-TOPSIS/AVG TOPSIS
58,10,-0.13875806732949592,DARIA-VIKOR/AVG VIKOR
59,10,0.88215157858015,AVG TOPSIS/AVG VIKOR
60,16,0.6277036455607884,DARIA-TOPSIS/DARIA-VIKOR
61,16,-0.0226757369614512,DARIA-TOPSIS/AVG TOPSIS
62,16,0.22023809523809523,DARIA-VIKOR/AVG VIKOR
63,16,0.8612637362637363,AVG TOPSIS/AVG VIKOR
64,24,0.7198456305599163,DARIA-TOPSIS/DARIA-VIKOR
65,24,-0.12938252223966518,DARIA-TOPSIS/AVG TOPSIS
66,24,-0.38066893424036286,DARIA-VIKOR/AVG VIKOR
67,24,0.8821079713936857,AVG TOPSIS/AVG VIKOR
68,32,0.4152058259201117,DARIA-TOPSIS/DARIA-VIKOR
69,32,0.2554072911215768,DARIA-TOPSIS/AVG TOPSIS
70,32,0.5761163439734869,DARIA-VIKOR/AVG VIKOR
71,32,0.8283839176696319,AVG TOPSIS/AVG VIKOR
72,6,0.7641505320076749,DARIA-TOPSIS/DARIA-VIKOR
73,6,-0.07803506017791739,DARIA-TOPSIS/AVG TOPSIS
74,6,0.1136621315192744,DARIA-VIKOR/AVG VIKOR
75,6,0.9316457352171638,AVG TOPSIS/AVG VIKOR
76,8,0.530982905982906,DARIA-TOPSIS/DARIA-VIKOR
77,8,-0.2561268096982383,DARIA-TOPSIS/AVG TOPSIS
78,8,0.16487877202162915,DARIA-VIKOR/AVG VIKOR
79,8,0.8666710273853131,AVG TOPSIS/AVG VIKOR
80,10,0.8764608407465551,DARIA-TOPSIS/DARIA-VIKOR
81,10,0.1806645735217164,DARIA-TOPSIS/AVG TOPSIS
82,10,0.1959270887842316,DARIA-VIKOR/AVG VIKOR
83,10,0.8204692133263563,AVG TOPSIS/AVG VIKOR
84,16,0.6858102215245072,DARIA-TOPSIS/DARIA-VIKOR
85,16,0.2256235827664399,DARIA-TOPSIS/AVG TOPSIS
86,16,0.16529304029304026,DARIA-VIKOR/AVG VIKOR
87,16,0.9289638932496076,AVG TOPSIS/AVG VIKOR
88,24,0.7912960055817199,DARIA-TOPSIS/DARIA-VIKOR
89,24,0.4567852782138496,DARIA-TOPSIS/AVG TOPSIS
90,24,0.26892551892551897,DARIA-VIKOR/AVG VIKOR
91,24,0.7902712366998081,AVG TOPSIS/AVG VIKOR
92,32,0.6971262864120007,DARIA-TOPSIS/DARIA-VIKOR
93,32,0.047161172161172216,DARIA-TOPSIS/AVG TOPSIS
94,32,-0.13594540380254672,DARIA-VIKOR/AVG VIKOR
95,32,0.946101517530089,AVG TOPSIS/AVG VIKOR
96,6,0.8551805337519623,DARIA-TOPSIS/DARIA-VIKOR
97,6,0.0004142682714111112,DARIA-TOPSIS/AVG TOPSIS
98,6,-0.03229112157683578,DARIA-VIKOR/AVG VIKOR
99,6,0.9600558171986744,AVG TOPSIS/AVG VIKOR
100,8,0.8267704517704517,DARIA-TOPSIS/DARIA-VIKOR
101,8,0.01567678353392643,DARIA-TOPSIS/AVG TOPSIS
102,8,0.003990057561486182,DARIA-VIKOR/AVG VIKOR
