Lp,Periods,Correlation,Methods
0,5,0.8085208442351299,DARIA-TOPSIS/DARIA-VIKOR
1,5,0.41729897087039947,DARIA-TOPSIS/AVG TOPSIS
2,5,0.4275466596895169,DARIA-VIKOR/AVG VIKOR
3,5,0.9366823652537938,AVG TOPSIS/AVG VIKOR
4,6,0.8960186638758068,DARIA-TOPSIS/DARIA-VIKOR
5,6,0.288134484563056,DARIA-TOPSIS/AVG TOPSIS
6,6,0.2837083551369266,DARIA-VIKOR/AVG VIKOR
7,6,0.9286804465375894,AVG TOPSIS/AVG VIKOR
8,7,0.8380647130647131,DARIA-TOPSIS/DARIA-VIKOR
9,7,0.09914093842665272,DARIA-TOPSIS/AVG TOPSIS
10,7,-0.04746642246642252,DARIA-VIKOR/AVG VIKOR
11,7,0.9534493284493284,AVG TOPSIS/AVG VIKOR
12,8,0.8535670678527821,DARIA-TOPSIS/DARIA-VIKOR
13,8,0.26188295831152975,DARIA-TOPSIS/AVG TOPSIS
14,8,0.2795874760160475,DARIA-VIKOR/AVG VIKOR
15,8,0.9050889586603872,AVG TOPSIS/AVG VIKOR
16,9,0.9548665620094191,DARIA-TOPSIS/DARIA-VIKOR
17,9,0.04757544043258333,DARIA-TOPSIS/AVG TOPSIS
18,9,0.10289115646258506,DARIA-VIKOR/AVG VIKOR
19,9,0.9096677132391418,AVG TOPSIS/AVG VIKOR
20,10,0.8896520146520146,DARIA-TOPSIS/DARIA-VIKOR
21,10,0.04570033141461716,DARIA-TOPSIS/AVG TOPSIS
22,10,0.14832984475841615,DARIA-VIKOR/AVG VIKOR
23,10,0.920940170940171,AVG TOPSIS/AVG VIKOR
24,5,0.8022632129774987,DARIA-TOPSIS/DARIA-VIKOR
25,5,0.07879818594104304,DARIA-TOPSIS/AVG TOPSIS
26,5,0.1504884004884005,DARIA-VIKOR/AVG VIKOR
27,5,0.9567416710273853,AVG TOPSIS/AVG VIKOR
28,6,0.786150357578929,DARIA-TOPSIS/DARIA-VIKOR
29,6,0.2644557823129252,DARIA-TOPSIS/AVG TOPSIS
30,6,0.13337257980115125,DARIA-VIKOR/AVG VIKOR
31,6,0.9484345020059306,AVG TOPSIS/AVG VIKOR
32,7,0.9465811965811965,DARIA-TOPSIS/DARIA-VIKOR
33,7,0.048687423687423736,DARIA-TOPSIS/AVG TOPSIS
34,7,0.08058608058608063,DARIA-VIKOR/AVG VIKOR
35,7,0.9344802023373452,AVG TOPSIS/AVG VIKOR
36,8,0.8993328100470958,DARIA-TOPSIS/DARIA-VIKOR
37,8,0.43997470783185066,DARIA-TOPSIS/AVG TOPSIS
38,8,0.3784013605442177,DARIA-VIKOR/AVG VIKOR
39,8,0.9029522065236351,AVG TOPSIS/AVG VIKOR
40,9,0.8842011163439735,DARIA-TOPSIS/DARIA-VIKOR
41,9,0.03226931798360366,DARIA-TOPSIS/AVG TOPSIS
42,9,0.2655459619745334,DARIA-VIKOR/AVG VIKOR
43,9,0.9494374672946102,AVG TOPSIS/AVG VIKOR
44,10,0.8178091749520321,DARIA-TOPSIS/DARIA-VIKOR
45,10,0.24531222745508463,DARIA-TOPSIS/AVG TOPSIS
46,10,0.32419762776905636,DARIA-VIKOR/AVG VIKOR
47,10,0.899899703471132,AVG TOPSIS/AVG VIKOR
48,5,0.9149005756148614,DARIA-TOPSIS/DARIA-VIKOR
49,5,0.014891854177568442,DARIA-TOPSIS/AVG TOPSIS
50,5,-0.1389324960753533,DARIA-VIKOR/AVG VIKOR
51,5,0.9121751264608408,AVG TOPSIS/AVG VIKOR
52,6,0.8083464154892727,DARIA-TOPSIS/DARIA-VIKOR
53,6,0.5391156462585034,DARIA-TOPSIS/AVG TOPSIS
54,6,0.28575789290075004,DARIA-VIKOR/AVG VIKOR
55,6,0.8889761032618175,AVG TOPSIS/AVG VIKOR
56,7,0.7739185417756846,DARIA-TOPSIS/DARIA-VIKOR
57,7,0.1425518925518926,DARIA-TOPSIS/AVG TOPSIS
58,7,0.22320338391766958,DARIA-VIKOR/AVG VIKOR
59,7,0.9335426478283622,AVG TOPSIS/AVG VIKOR
60,8,0.8825004360718647,DARIA-TOPSIS/DARIA-VIKOR
61,8,0.02394034536891676,DARIA-TOPSIS/AVG TOPSIS
62,8,-0.04288766788766796,DARIA-VIKOR/AVG VIKOR
63,8,0.9747732426303855,AVG TOPSIS/AVG VIKOR
64,9,0.887842316413745,DARIA-TOPSIS/DARIA-VIKOR
65,9,0.06608669108669107,DARIA-TOPSIS/AVG TOPSIS
66,9,-0.17850601779173214,DARIA-VIKOR/AVG VIKOR
67,9,0.944379033664748,AVG TOPSIS/AVG VIKOR
68,10,0.8200767486481773,DARIA-TOPSIS/DARIA-VIKOR
69,10,0.5125152625152625,DARIA-TOPSIS/AVG TOPSIS
70,10,0.6327402755974185,DARIA-VIKOR/AVG VIKOR
71,10,0.9234911913483342,AVG TOPSIS/AVG VIKOR
72,5,0.8688513867085296,DARIA-TOPSIS/DARIA-VIKOR
73,5,-0.14061137275422997,DARIA-TOPSIS/AVG TOPSIS
74,5,-0.1877943485086342,DARIA-VIKOR/AVG VIKOR
75,5,0.9183673469387755,AVG TOPSIS/AVG VIKOR
76,6,0.7154849119134834,DARIA-TOPSIS/DARIA-VIKOR
77,6,0.3570556427699285,DARIA-TOPSIS/AVG TOPSIS
78,6,0.4458180708180708,DARIA-VIKOR/AVG VIKOR
79,6,0.8277080062794349,AVG TOPSIS/AVG VIKOR
80,7,0.9222047793476364,DARIA-TOPSIS/DARIA-VIKOR
81,7,0.1762602476888191,DARIA-TOPSIS/AVG TOPSIS
82,7,0.06787458573172855,DARIA-VIKOR/AVG VIKOR
83,7,0.9570687249258678,AVG TOPSIS/AVG VIKOR
84,8,0.803767660910518,DARIA-TOPSIS/DARIA-VIKOR
85,8,0.14920198848770272,DARIA-TOPSIS/AVG TOPSIS
86,8,0.17056950985522412,DARIA-VIKOR/AVG VIKOR
87,8,0.857796964939822,AVG TOPSIS/AVG VIKOR
88,9,0.6995028780743067,DARIA-TOPSIS/DARIA-VIKOR
89,9,-0.026011686725972538,DARIA-TOPSIS/AVG TOPSIS
90,9,0.05084597941740798,DARIA-VIKOR/AVG VIKOR
91,9,0.875654107796965,AVG TOPSIS/AVG VIKOR
92,10,0.7283490319204604,DARIA-TOPSIS/DARIA-VIKOR
93,10,0.12979679051107618,DARIA-TOPSIS/AVG TOPSIS
94,10,0.17602040816326525,DARIA-VIKOR/AVG VIKOR
95,10,0.8443441479155764,AVG TOPSIS/AVG VIKOR
96,5,0.7733952555381127,DARIA-TOPSIS/DARIA-VIKOR
97,5,0.4497209140066283,DARIA-TOPSIS/AVG TOPSIS
98,5,0.2971611721611722,DARIA-VIKOR/AVG VIKOR
99,5,0.9277646956218385,AVG TOPSIS/AVG VIKOR
100,6,0.916841095412524,DARIA-TOPSIS/DARIA-VIKOR
101,6,0.4355921855921856,DARIA-TOPSIS/AVG TOPSIS
102,6,0.4906462585034014,DARIA-VIKOR/AVG VIKOR
103,6,0.9567416710273853,AVG TOPSIS/AVG VIKOR
104,7,0.9028431885574743,DARIA-TOPSIS/DARIA-VIKOR
105,7,0.1641156462585034,DARIA-TOPSIS/AVG TOPSIS
106,7,0.25427350427350426,DARIA-VIKOR/AVG VIKOR
107,7,0.9181057038199896,AVG TOPSIS/AVG VIKOR
108,8,0.8739970347113204,DARIA-TOPSIS/DARIA-VIKOR
109,8,0.1254142682714111,DARIA-TOPSIS/AVG TOPSIS
110,8,-0.0016570730856444449,DARIA-VIKOR/AVG VIKOR
111,8,0.8422728065585209,AVG TOPSIS/AVG VIKOR
112,9,0.9418062096633525,DARIA-TOPSIS/DARIA-VIKOR
113,9,0.00963718820861681,DARIA-TOPSIS/AVG TOPSIS
114,9,-0.001635269492412439,DARIA-VIKOR/AVG VIKOR
115,9,0.883743240886098,AVG TOPSIS/AVG VIKOR
116,10,0.9485217163788593,DARIA-TOPSIS/DARIA-VIKOR
117,10,0.2500872143729287,DARIA-TOPSIS/AVG TOPSIS
118,10,0.15491452991452992,DARIA-VIKOR/AVG VIKOR
119,10,0.9322998430141287,AVG TOPSIS/AVG VIKOR
120,5,0.8222353043781615,DARIA-TOPSIS/DARIA-VIKOR
121,5,0.3527385313099599,DARIA-TOPSIS/AVG TOPSIS
122,5,0.4171245421245421,DARIA-VIKOR/AVG VIKOR
123,5,0.9207221350078493,AVG TOPSIS/AVG VIKOR
124,6,0.9254753183324612,DARIA-TOPSIS/DARIA-VIKOR
125,6,0.22148090005232868,DARIA-TOPSIS/AVG TOPSIS
126,6,0.15190563404849122,DARIA-VIKOR/AVG VIKOR
127,6,0.9070730856445142,AVG TOPSIS/AVG VIKOR
128,7,0.9038897610326182,DARIA-TOPSIS/DARIA-VIKOR
129,7,0.1124629338915053,DARIA-TOPSIS/AVG TOPSIS
130,7,-0.05250305250305254,DARIA-VIKOR/AVG VIKOR
131,7,0.5604395604395604,AVG TOPSIS/AVG VIKOR
132,8,0.8358843537414966,DARIA-TOPSIS/DARIA-VIKOR
133,8,-0.06342665271236703,DARIA-TOPSIS/AVG TOPSIS
134,8,-0.08616780045351469,DARIA-VIKOR/AVG VIKOR
135,8,0.7990580847723705,AVG TOPSIS/AVG VIKOR
136,9,0.8503837432408861,DARIA-TOPSIS/DARIA-VIKOR
137,9,0.05043171114599687,DARIA-TOPSIS/AVG TOPSIS
138,9,-0.036848072562358336,DARIA-VIKOR/AVG VIKOR
139,9,0.9218123146694576,AVG TOPSIS/AVG VIKOR
140,10,0.6042647828362114,DARIA-TOPSIS/DARIA-VIKOR
141,10,0.29437031222745513,DARIA-TOPSIS/AVG TOPSIS
142,10,0.005385487528344668,DARIA-VIKOR/AVG VIKOR
143,10,0.9070076748648177,AVG TOPSIS/AVG VIKOR
144,5,0.8907421943136229,DARIA-TOPSIS/DARIA-VIKOR
145,5,0.3017617303331589,DARIA-TOPSIS/AVG TOPSIS
