Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2015,2018,2012,2013,2014,2015,2016,2017,2018,2019,2020,2014,2015,2016,2017,2018,2019,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C3,C3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C5,C5,C5,C5,C5,C5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C7,C7,C7,C7,C7,C7,C7,C7,C7,C8,C8,C8,C8,C8,C8,C8,C8,C8,C9,C9,C9,C9,C9,C9,C9,C9,C9
Belgium,0.6,0.9,0.9,0.9,1.7,2.3,2.2,1.9,2.3,17.4,17.5,18.1,18,15.8,15.6,17.7,16,14.5,537.8,581.6,583.5,7.4,6.8,6.6,6.8,5.9,5.4,5.3,5.6,4.3,772,737,720,681,697,605,53.4,52.8,53.8,53.5,53.5,53.9,54.4,54.7,52,76.76,79.13,80.51,81.93,82.84,83.33,84.34,84.25,83.58,19.9,22.8,19.6,18.8,18.2,18.2,18.4,18.7,13.5,14.5,19.4,16.2,16.1,13.3,12.4,12.3,13.3,10.8
Bulgaria,12.9,13,12.9,11.4,11.6,10.6,10.1,8.9,8.6,12,11.1,11.7,9.7,10,9.8,9.4,8.9,8.8,468.5,613.5,623.4,8.2,8.3,9.2,9.9,9.9,9.6,8.7,9,6.7,2073,2050,1940,1947,1850,1606,25,28.5,23.1,29.4,31.8,34.6,31.5,34.6,34.6,53.9,54.54,54.77,60.63,61.84,63.19,63.72,64.51,65.05,17.9,17.0,17.7,16.9,16.3,15.2,14.2,15.3,10.4,26.9,25.8,26.8,26.3,25,23.6,21.8,20.2,19.1
Czechia,3.9,4,3.5,3.3,3,2.1,2.3,1.9,2,14.3,14.9,13.7,13.9,14.5,13.6,14.6,14,13.3,588.4,616.1,634.4,7.1,6.2,6.5,7,5.8,5.4,6.2,5.8,4.8,1159,1069,1050,1080,1164,892,23.2,24.2,25.4,29.7,33.6,32,32.2,33.3,45.4,78,79.8,79.8,80.7,81.2,82.3,82.3,82.6,83.4,25.2,25.6,27.2,25.0,24.7,25.3,25.3,25.0,18.3,13.2,13.9,13.5,12,11.7,9.3,7.9,7.8,6.1
Denmark,2.3,2.3,2.3,2.8,1.7,2.7,3.2,2.8,2.8,17.1,15.6,16.4,16.5,18.3,18.8,18.2,20.1,18.2,1021,1052.3,1053.8,3,3.4,3.2,3.1,3.7,3,3,3.4,2.7,668,558,533,477,591,530,42.5,43.3,45.4,47.4,48.3,47.6,49.9,51.5,45,94.2,95.7,96.3,96.5,96.8,97.3,97.1,97.5,97.7,20.0,20.1,19.4,19.1,18.6,18.5,18.0,17.3,12.7,9.9,9.2,9.1,7.7,8.4,7.8,7.4,7.5,7.3
Germany (until 1990 former territory of the FRG),1.9,1.6,1.9,1.8,1.9,1.8,2.3,2.1,1.2,26.1,26.1,25.9,25.8,25.1,26.1,27.8,26.1,21.6,553.4,564.8,586.7,4.5,4.1,4.2,4.2,3.9,3.8,4,3.7,3.3,895,828,782,778,814,676,65.2,63.8,65.6,66.7,67.1,67.2,67.1,66.7,68.3,95.41,95.35,95.56,95.77,95.97,,,,,15.8,15.5,15.5,15.6,15.7,16.0,16.1,16.7,11.2,12.5,13.5,13.1,13.8,14.1,14.2,13.3,13.1,8.2
Estonia,4.7,5.8,3.9,2.8,3.3,3.3,2.9,2.7,2.1,12.8,10.8,10.5,9.4,10.4,8.2,8.6,8.2,8,1316.1,1540.5,1484.4,6.6,6.1,5.9,5.1,5.4,3.6,5.1,3.9,4.4,670,523,456,411,538,423,19.1,17.9,31.3,28.3,28.1,28.4,28,30.8,28.9,81,82,83,83,83,83,83,83,83,16.4,16.1,16.0,17.7,20.2,19.8,19.6,20.1,11.6,15.7,12.3,12.3,11.8,9.2,7.3,7.4,7.4,5.5
Ireland,0.6,1.4,1.3,1.2,1,0.7,0.8,1.1,1.4,9,9.4,9,8.2,7.7,9,9.4,8.2,10.3,1015.6,961.3,972.7,3.5,4.1,4.1,3.4,3.8,3.2,2.8,2.8,2.9,359,262,278,253,328,322,36.6,,39.8,,40.7,40.4,37.6,37.4,40.4,58.78,59.38,59.98,60.56,61.15,61.56,61.83,61.86,,17.2,16.8,17.7,16.7,16.6,17.4,18.3,18.2,13.6,10.7,11.9,10.9,10.9,9.7,9.7,10.0,8.8,11.3
Greece,7,7,6,6.7,6.3,6,5.9,6,5.8,25.1,24.2,19.7,19.2,19.9,20.1,19.3,19.7,20.1,576.7,627.7,710.2,8.9,8,7.3,7.3,7.6,6.8,6.5,6.4,5.5,1062,1193,1255,1826,1154,1001,17,15.8,15.4,15.8,17.2,18.9,20.1,21,,92.03,92.8,92.8,93.4,93.4,94.8,94.8,94.2,,18.4,18.7,18.6,18.6,18.1,17.5,17.3,17.0,12.9,20.1,19,16.1,12.8,11.8,13.8,13.5,16.9,18.1
