Country,C1,C2,C4,C6,C7,C8,C9
Belgium,0.9,17.5,6.8,52.8,79.13,22.8,19.4
Bulgaria,13,11.1,8.3,28.5,54.54,17.0,25.8
Czechia,4,14.9,6.2,24.2,79.8,25.6,13.9
Denmark,2.3,15.6,3.4,43.3,95.7,20.1,9.2
Germany (until 1990 former territory of the FRG),1.6,26.1,4.1,63.8,95.35,15.5,13.5
Estonia,5.8,10.8,6.1,17.9,82,16.1,12.3
Ireland,1.4,9.4,4.1,36.6,59.38,16.8,11.9
Greece,7,24.2,8,15.8,92.8,18.7,19
Spain,1.8,18.3,3.5,32.5,88.7,19.3,14.2
France,2.1,16.2,5,38.7,80.44,16.3,16.8
Croatia,9,10,8.6,14.9,36.9,14.5,2.9
Italy,8.8,18.1,5.6,39.4,57.6,20.3,16
Cyprus,1.4,26.2,5.1,13.9,,18.5,15.3
Latvia,16.3,14.8,8.9,25.9,69.09,22.7,12
Lithuania,9.1,14.1,8.7,27.8,64.26,8.6,6.4
Luxembourg,1.8,18.5,8.3,46.6,,17.2,12.9
Hungary,17.3,12.8,6,26.4,72.68,31.7,12.6
Malta,1.3,31,4,12.5,0,17.0,12.9
Netherlands,0.8,24.1,2.8,49.8,99.4,14.0,18.1
Austria,3.9,18.9,5.4,57.7,94.5,22.2,11.3
Poland,10.1,14,8.8,15.1,70.2,22.0,6.4
Portugal,5.6,22.7,6.1,25.8,,9.3,13.3
Romania,22.8,26.4,9.3,13.2,36.1,21.1,15.7
Slovenia,6.5,12.3,6.1,34.8,55.2,13.7,9.1
Slovakia,4.5,15.1,4.6,10.8,,21.9,8.9
Finland,0.7,13.4,4.7,32.5,83,15.1,9
Sweden,1.8,12.9,2.7,48.2,95,16.6,10.1
