Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
Belgium,2.2,17.7,583.5,5.3,697,54.4,84.34,18.4,12.3
Bulgaria,10.1,9.4,623.4,8.7,1850,31.5,63.72,14.2,21.8
Czechia,2.3,14.6,634.4,6.2,1164,32.2,82.3,25.3,7.9
Denmark,3.2,18.2,1053.8,3,591,49.9,97.1,18,7.4
Germany (until 1990 former territory of the FRG),2.3,27.8,586.7,4,814,67.1,95.97,16.1,13.3
Estonia,2.9,8.6,1484.4,5.1,538,28,83,19.6,7.4
Ireland,0.8,9.4,972.7,2.8,328,37.6,61.83,18.3,10
Greece,5.9,19.3,710.2,6.5,1154,20.1,94.8,17.3,13.5
Spain,1.5,17,577.5,3.9,562,34.8,86.62,15.1,10.9
France,2.7,18.2,845.1,4.8,603,40.3,80.19,16.2,14.9
Croatia,6.2,8,722.5,7.7,1298,25.3,36.9,15.2,2.6
Italy,5,10.9,484.3,5.5,900,49.8,59.6,18,11.3
Cyprus,1.1,19.6,939,5.6,585,16.5,82.65,18.9,13.9
Latvia,14.9,13.7,1276.1,7.7,1100,25.2,75.41,17.3,8.6
Lithuania,6.9,14.8,1090.5,6.2,1051,52.5,75.8,9.6,3.7
Luxembourg,2.2,19.3,565.2,5.9,423,49,97,17.1,11.3
Hungary,7.5,8.5,811.5,6.5,1512,37.4,80.36,28.1,4.8
Malta,1.2,28.2,201.4,3.7,653,10.5,0,17.5,12.5
Netherlands,1.3,27.1,456.9,3.5,618,55.9,99.5,14.2,17.5
Austria,3.2,17.5,740.1,4.6,723,57.7,99.78,22.9,9.7
Poland,8.6,13.8,633.7,7.5,1567,34.3,74,20.7,4.8
Portugal,4.1,23,689.1,6.8,533,29.1,84.64,10.5,6.5
Romania,16.1,20.1,528.4,9.6,1458,11.1,48.1,21.2,11.5
Slovenia,4.8,14.3,625.1,4.4,888,58.9,68.95,13.6,7.9
Slovakia,3.7,11.2,631.8,4.8,1162,36.3,65.7,26.1,4.8
Finland,0.9,13.4,2447.6,4.3,341,42.3,85,15.8,7
Sweden,2.9,17,2223,3.2,293,45.8,96,19.6,14.4
