,2015,2016,2017,2018,2019,2020
BE,0.7266205156896596,0.7151900714651956,0.7073663275203548,0.6925866485555873,0.6731123516327053,0.6592336269319662
BG,0.3780549880563094,0.36886053781829176,0.34533781360896865,0.34542824612759776,0.35075304611591757,0.35194838611179996
CZ,0.6742572567209763,0.6784674213871776,0.6894459454800975,0.6726093726827177,0.6756727307621145,0.6809148646214921
DK,0.7618482230234073,0.7724302703155748,0.7547685625671013,0.7323176472486986,0.722300723777548,0.7133258780238242
DE,0.7189103031445884,0.7075746879881973,0.7045193338674987,0.6757281018501586,0.6626921838533935,0.6903741280517748
EE,0.7750541907670783,0.7716814290129166,0.775558204664187,0.7594907052428848,0.763961311039035,0.7682232809620259
IE,0.7707280956306776,0.7682319864062619,0.7789643978771584,0.7590675175258221,0.7477277286223394,0.7105800366179998
EL,0.5687003350768305,0.5755552982576598,0.5256444061125005,0.5478339698950234,0.4980920094349568,0.4769239606215503
ES,0.719697630637603,0.7127862112939465,0.7255190580267485,0.701976307177262,0.6827995804076332,0.5985481089539663
FR,0.7297321697790448,0.7138664674169772,0.7266780920631456,0.6869340529182486,0.6733038526521268,0.5846519607769963
HR,0.5554455810815543,0.5596612867696003,0.5512731914028172,0.5597566368547605,0.5544654817425909,0.592153211020711
IT,0.4805842192401711,0.5516599160006381,0.5964784688092364,0.6074856573808748,0.5828916323545479,0.5445520379193535
CY,0.7385371488275998,0.7364481155607429,0.7370501716771308,0.7005249581082694,0.6865899446819432,0.6736173411079388
LV,0.321029019516901,0.36060138061440516,0.3016902029889536,0.2970949538201646,0.35011366271176264,0.4048090641505266
LT,0.541098522634911,0.5696690045001912,0.5450837867723591,0.5900830974890906,0.5212287915164798,0.6135052060909766
LU,0.7143090211992114,0.7072200192325337,0.7049546749572118,0.6972066507389034,0.68488323561984,0.6737908876958426
HU,0.2843226823963495,0.2580066506357363,0.22566800875460497,0.5265501621885611,0.48945200898045893,0.5103545071530712
MT,0.6588324256751851,0.6472315326283412,0.6597303589002629,0.624826030113514,0.6006085036361479,0.6014082181076409
NL,0.7182696330683553,0.7035725837831058,0.7125726773265971,0.6727142639330579,0.6511582993605468,0.6263410470123645
AT,0.687450784913364,0.6882168634745489,0.6719567575277309,0.6976598784569354,0.6841456565841211,0.6953969034372518
PL,0.47665677020086106,0.4895682554672005,0.4179745098293034,0.4628246588717521,0.4624202371906226,0.47779689832360106
PT,0.650948161310405,0.6492988715416521,0.6578297042560697,0.6460282247034065,0.6201044045719608,0.6185327468824995
RO,0.13258059139673095,0.14034717121905335,0.1398762863909815,0.17315822540811296,0.1996315360448826,0.2384427112679061
SI,0.6354982961377892,0.6627497774577044,0.6515011131222918,0.6384508416590298,0.6428767107349571,0.6582311936236708
SK,0.6382536695622357,0.6407855695371487,0.6005715549458065,0.6531576325606038,0.6450106535038774,0.6602757904218065
FI,0.8894132003960733,0.9012085964286657,0.9023945052824268,0.8797639562676893,0.8852455644483801,0.8537201850743441
SE,0.8667727220057231,0.8570188600846849,0.8571457439184702,0.7936697362110658,0.7953679853610115,0.7479686425914173
