,TOPSIS,,,,,,VIKOR,,,,,
Country,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020
BE,0.7266,0.7152,0.7074,0.6926,0.6731,0.6592,0.2613,0.2859,0.2908,0.2948,0.3371,0.3408
BG,0.3781,0.3689,0.3453,0.3454,0.3508,0.3519,0.6438,0.6589,0.6844,0.6906,0.6982,0.6935
CZ,0.6743,0.6785,0.6894,0.6726,0.6757,0.6809,0.3076,0.3218,0.3073,0.3125,0.3322,0.3115
DK,0.7618,0.7724,0.7548,0.7323,0.7223,0.7133,0.1678,0.1849,0.1973,0.1970,0.2335,0.2314
DE,0.7189,0.7076,0.7045,0.6757,0.6627,0.6904,0.2559,0.2860,0.2923,0.3053,0.3399,0.2981
EE,0.7751,0.7717,0.7756,0.7595,0.7640,0.7682,0.1299,0.1472,0.1317,0.1391,0.1494,0.1347
IE,0.7707,0.7682,0.7790,0.7591,0.7477,0.7106,0.1673,0.1876,0.1757,0.1766,0.2086,0.2365
EL,0.5687,0.5756,0.5256,0.5478,0.4981,0.4769,0.3845,0.4079,0.4533,0.4073,0.4769,0.5278
ES,0.7197,0.7128,0.7255,0.7020,0.6828,0.5985,0.2570,0.2843,0.2721,0.2867,0.3266,0.4113
FR,0.7297,0.7139,0.7267,0.6869,0.6733,0.5847,0.2404,0.2758,0.2649,0.2840,0.3190,0.4139
HR,0.5554,0.5597,0.5513,0.5598,0.5545,0.5922,0.3954,0.3972,0.4048,0.3841,0.4047,0.3897
IT,0.4806,0.5517,0.5965,0.6075,0.5829,0.5446,0.4920,0.4120,0.3826,0.3643,0.4079,0.4353
CY,0.7385,0.7364,0.7371,0.7005,0.6866,0.6736,0.2229,0.2363,0.2477,0.2691,0.3042,0.3083
LV,0.3210,0.3606,0.3017,0.2971,0.3501,0.4048,0.7093,0.6654,0.7763,0.8202,0.7631,0.6937
LT,0.5411,0.5697,0.5451,0.5901,0.5212,0.6135,0.4237,0.3873,0.4273,0.3590,0.4723,0.3296
LU,0.7143,0.7072,0.7050,0.6972,0.6849,0.6738,0.2737,0.2937,0.2945,0.2873,0.3136,0.3192
HU,0.2843,0.2580,0.2257,0.5266,0.4895,0.5104,0.7246,0.7804,0.8434,0.4142,0.4889,0.4590
MT,0.6588,0.6472,0.6597,0.6248,0.6006,0.6014,0.3779,0.4227,0.4042,0.4436,0.5014,0.5012
NL,0.7183,0.7036,0.7126,0.6727,0.6512,0.6263,0.2667,0.3013,0.2926,0.3247,0.3700,0.3908
AT,0.6875,0.6882,0.6720,0.6977,0.6841,0.6954,0.2613,0.2776,0.2865,0.2558,0.2924,0.2605
PL,0.4767,0.4896,0.4180,0.4628,0.4624,0.4778,0.4883,0.4794,0.5648,0.5166,0.5363,0.5261
PT,0.6509,0.6493,0.6578,0.6460,0.6201,0.6185,0.3230,0.3389,0.3404,0.3335,0.3821,0.3928
RO,0.1326,0.1403,0.1399,0.1732,0.1996,0.2384,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
SI,0.6355,0.6627,0.6515,0.6385,0.6429,0.6582,0.3157,0.3228,0.3222,0.3167,0.3481,0.3398
SK,0.6383,0.6408,0.6006,0.6532,0.6450,0.6603,0.3402,0.3518,0.3688,0.3088,0.3401,0.3229
FI,0.8894,0.9012,0.9024,0.8798,0.8852,0.8537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,0.8668,0.8570,0.8571,0.7937,0.7954,0.7480,0.0130,0.0350,0.0394,0.1015,0.1137,0.1743
