,2015,2016,2017,2018,2019,2020
BE,0.2612763206583739,0.2858723876195213,0.29078290808700147,0.29479309560521394,0.33707000707047574,0.340813489366738
BG,0.6438463734123434,0.6589386535811715,0.6844002759871843,0.6905751098820141,0.6981924516412479,0.6935359029191116
CZ,0.30760238624507485,0.32175187694874563,0.30726878618475256,0.31250966246822987,0.3321776817470526,0.3114627746441865
DK,0.1677601077053904,0.18485520091924737,0.19732436263567366,0.19702301935793565,0.23349252572714085,0.23142093117356832
DE,0.25593161378481555,0.28596571021080847,0.2923229892398385,0.3052780421905862,0.33987113101163946,0.2981346060158332
EE,0.12987847627246774,0.14717777484620792,0.1316761536468381,0.13909785586849108,0.14938047730650172,0.13472365138552295
IE,0.16730220914994715,0.18761013714050706,0.1756532966880049,0.1766167114523674,0.20860793415991738,0.236482880489154
EL,0.3845451408311219,0.4079170895340808,0.4533434744640298,0.4073320894484248,0.47691589102220505,0.5277926897254903
ES,0.25703395836852844,0.28426589139871145,0.272145085535921,0.2867322247450327,0.32662189633010374,0.4113466123990376
FR,0.240398042136469,0.27575081650368966,0.26494550997098765,0.28397650213816533,0.31902965677775524,0.4138639444347537
HR,0.39542527632136754,0.3971805300977713,0.4047578530417219,0.38410890625706273,0.40469379433704455,0.38966596072142
IT,0.49195733057194335,0.4119652417091273,0.38257421383960755,0.36432051801420284,0.407904060717397,0.4353442739675062
CY,0.2228596151308773,0.23634895694091262,0.2476729992709138,0.2690587792532536,0.3041542568489232,0.308348420845321
LV,0.7092883891553665,0.6653808216337729,0.7762595851978387,0.8202317902982009,0.7631286753810306,0.693698195512643
LT,0.42365328573489114,0.38734583568749537,0.4272697821596395,0.3590116709456631,0.47228480846072074,0.32964496589676906
LU,0.27367112438447083,0.29374766569133726,0.294498320292649,0.2872943834317968,0.31362546037713346,0.3191962056523965
HU,0.7246146192752388,0.7804190618240145,0.843370931380853,0.4142406846231029,0.4888681995471391,0.4590378720962135
MT,0.37790956856391755,0.42265394903555964,0.40422793612441343,0.44362382822268065,0.5013982259320399,0.5011875601537948
NL,0.26668921193698764,0.30129973912269703,0.2926161959403135,0.32469376113050336,0.37000548878580763,0.39079066710843136
AT,0.2613275220647356,0.2776256682024406,0.2865192081091029,0.2558249113818434,0.2924240938758821,0.26049224041240954
PL,0.48827523365129155,0.47940909347949623,0.5648334024407708,0.5165713830561653,0.5363157273774266,0.5260718675715776
PT,0.3229945277865208,0.3388698246233075,0.3404408667136676,0.3335250723670652,0.3821075980595468,0.39278528334306606
RO,1.0,1.0,1.0,1.0,1.0,1.0
SI,0.3156961701217796,0.32280429420170637,0.322198630268266,0.31665082996098526,0.34808059282998804,0.33981680053604224
SK,0.340218977347592,0.35184028461898786,0.3688136099414645,0.3088385517580844,0.34006660774791697,0.3228578665189664
FI,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.012958714409996403,0.03501170283764469,0.039430879292588136,0.10146083840583131,0.11373453873028687,0.1743230447376085
