Country,2020 TOPSIS,2020 VIKOR,AVG TOPSIS,AVG VIKOR,DARIA-TOPSIS,DARIA-VIKOR
BE,12,14,7,11,15,16
BG,26,25,25,25,27,26
CZ,8,9,14,14,8,9
DK,4,4,5,5,5,6
DE,7,7,11,9,10,10
EE,2,2,3,3,2,2
IE,5,5,4,4,6,7
EL,24,24,22,21,25,24
ES,18,18,9,12,21,19
FR,20,19,10,8,22,20
HR,19,15,20,18,17,14
IT,21,20,21,20,19,15
CY,10,8,6,6,13,13
LV,25,26,26,26,24,25
LT,16,12,19,19,14,4
LU,9,10,8,10,12,11
HU,22,21,24,24,7,8
MT,17,22,18,22,20,22
NL,14,16,12,13,18,18
AT,6,6,13,7,4,3
PL,23,23,23,23,23,21
PT,15,17,16,17,16,17
RO,27,27,27,27,26,27
SI,13,13,15,15,11,12
SK,11,11,17,16,9,5
FI,1,1,1,1,1,1
SE,3,3,2,2,3,23
