,2015,2016,2017,2018,2019,2020
BE,10,10,10,11,12,14
BG,24,24,24,25,25,25
CZ,14,14,14,14,11,9
DK,5,4,5,5,5,4
DE,8,11,11,12,13,7
EE,3,3,3,3,3,2
IE,4,5,4,4,4,5
EL,19,20,22,21,21,24
ES,9,9,8,9,10,18
FR,7,7,7,8,9,19
HR,20,19,20,20,18,15
IT,23,21,18,19,19,20
CY,6,6,6,7,7,8
LV,25,25,25,26,26,26
LT,21,18,21,18,20,12
LU,13,12,13,10,8,10
HU,26,26,26,22,22,21
MT,18,22,19,23,23,22
NL,12,13,12,16,16,16
AT,11,8,9,6,6,6
PL,22,23,23,24,24,23
PT,16,16,16,17,17,17
RO,27,27,27,27,27,27
SI,15,15,15,15,15,13
SK,17,17,17,13,14,11
FI,1,1,1,1,1,1
SE,2,2,2,2,2,3
