,Ai,Variability,dir list
0,BE,0.019083802084612564,$\downarrow$
1,BG,0.018304986019279792,$\downarrow$
2,CZ,0.004378151235665665,$\uparrow$
3,DK,0.016326984754237658,$\downarrow$
4,DE,0.015656829621950797,$\downarrow$
5,EE,0.00422897947709923,$\downarrow$
6,IE,0.015437692404885465,$\downarrow$
7,EL,0.037959503749684084,$\downarrow$
8,ES,0.030439471014722868,$\downarrow$
9,FR,0.036955011684346284,$\downarrow$
10,HR,0.011093267631894123,$\uparrow$
11,IT,0.040705668343370166,$\uparrow$
12,CY,0.01996765388691806,$\downarrow$
13,LV,0.06095536498337854,$\uparrow$
14,LT,0.031202952522502395,$\uparrow$
15,LU,0.011052322327608124,$\downarrow$
16,HU,0.17917778756661007,$\uparrow$
17,MT,0.02154558040620403,$\downarrow$
18,NL,0.027531854418234594,$\downarrow$
19,AT,0.006587566376197554,$\uparrow$
20,PL,0.024990709059210546,$\uparrow$
21,PT,0.012677002311812314,$\downarrow$
22,RO,0.12066421896356988,$\uparrow$
23,SI,0.008751465488325696,$\uparrow$
24,SK,0.015088291772029751,$\uparrow$
25,FI,0.009785644776919504,$\downarrow$
26,SE,0.028673884460023166,$\downarrow$
